Identifier	Comment	English	EnglishNodes	Deutsch	ZH	BE	SG	Francais
N_morphol_riparzone_right_width_highvar		Large width of riparian zone right (high width var.)	Large width of riparian zone right (high width var.)	Grosse Breite Uferbereich rechts (ausg. Breitenvar.)	Grosse Breite Uferbereich rechts (ausg. Breitenvar.)	Grosse Breite Uferbereich rechts (ausg. Breitenvar.)	Grosse Breite Uferbereich rechts (ausg. Breitenvar.)	Grandes largeurs des rives droites (var. prononcee)
N_morphol_riparzone_right_width_moderatevar		Large width of riparian zone right (mod. width var.)	Large width of riparian zone right (mod. width var.)	Grosse Breite Uferbereich rechts (eing. Breitenvar.)	Grosse Breite Uferbereich rechts (eing. Breitenvar.)	Grosse Breite Uferbereich rechts (eing. Breitenvar.)	Grosse Breite Uferbereich rechts (eing. Breitenvar.)	Grandes largeurs des rivesdroites (var. limitee)
N_morphol_riparzone_right_width_novar		Large width of riparian zone right (no width var.)	Large width of riparian zone right (no width var.)	Grosse Breite Uferbereich rechts (keine Breitenvar.)	Grosse Breite Uferbereich rechts (keine Breitenvar.)	Grosse Breite Uferbereich rechts (keine Breitenvar.)	Grosse Breite Uferbereich rechts (keine Breitenvar.)	Grandes largeurs des rives droites (var. nulle)
N_morphol_riparzone_right_veg		Natural vegetation in riparian zone right	Natural vegetation in riparian zone right	Natuerliche Vegetation im Uferbereich rechts	Natuerliche Uferbereichsvegetation rechts	Natuerliche Uferbereichsvegetation rechts	Natuerliche Uferbereichsvegetation rechts	Vegetation naturelle sur la rive droite
A_morphol_coverage_class	Eindohlung_Klasse	coverage_class	EINDOL	EINDOL	EINDOL	EINDOL	EINDOL	EINDOL
L_morphol_coverage_class_covered	eingedohlt	covered	1	1	1	1	1	1
L_morphol_coverage_class_uncovered	offen	open	0	0	0	0	0	0
A_morphol_riverbed_width_m	Flussbreite_m	riverbedwidth_m	GSBREITE	GSBREITE	GSBREITE	GSBREITE	GSBREITE	GSBREITE
A_morphol_widthvar_class	Breitenvariabilitaet_Klasse	widthvariability_class	BREITENVAR	BREITENVAR	BREITENVAR	BREITENVAR	BREITENVAR	BREITENVAR
L_morphol_widthvar_class_high	ausgepraegt	high	1	1	1	1	1	1
L_morphol_widthvar_class_moderate	eingeschraenkt	moderate	2	2	2	2	2	2
L_morphol_widthvar_class_none	keine	none	3	3	3	3	3	3
A_morphol_bedmod_fract_class	Sohlenverbgrad_Klasse	bedmodfract_class	SOHLVER	SOHLVER	SOHLVER	SOHLVER	SOHLVER	SOHLVER
L_morphol_bedmod_fract_class_0	0	0	1	1	1	1	1	1
L_morphol_bedmod_fract_class_0to10	0bis10	0to10	2	2	2	2	2	2
L_morphol_bedmod_fract_class_10to30	10bis30	10to30	3	3	3	3	3	3
L_morphol_bedmod_fract_class_30to60	30bis60	30to60	4	4	4	4	4	4
L_morphol_bedmod_fract_class_30to100	30bis100	30to100	30bis100	30bis100	30bis100	30bis100	30bis100	30a100
L_morphol_bedmod_fract_class_60to100	60bis100	60to100	5	5	5	5	5	5
L_morphol_bedmod_fract_class_100	100	100	6	6	6	6	6	6
A_morphol_bedmod_type_class	Sohlenverbart_Klasse	bedmodtype_class	SOHLMAT	SOHLMAT	SOHLMAT	SOHLMAT	SOHLMAT	SOHLMAT
L_morphol_bedmod_type_class_riprap1	keine_Verbauung	riprap1	0	0	0	0	0	0
L_morphol_bedmod_type_class_riprap2	Natursteine	riprap2	1	1	1	1	1	1
L_morphol_bedmod_type_class_riprap3	schuettung3	riprap3	schuettung3	schuettung3	schuettung3	schuettung3	schuettung3	enrochement3
L_morphol_bedmod_type_class_riprap4	schuettung4	riprap4	schuettung4	schuettung4	schuettung4	schuettung4	schuettung4	enrochement4
L_morphol_bedmod_type_class_riprap5	schuettung5	riprap5	schuettung5	schuettung5	schuettung5	schuettung5	schuettung5	enrochement5
L_morphol_bedmod_type_class_other1	Holz	other1	2	2	2	2	2	2
L_morphol_bedmod_type_class_other2	Betongittersteine	other2	3	3	3	3	3	3
L_morphol_bedmod_type_class_other3	undurchlaessig	other3	4	4	4	4	4	4
L_morphol_bedmod_type_class_other4	andere_dicht	other4	5	5	5	5	5	5
L_morphol_bedmod_type_class_other5	anderesmat5	other5	anderesmat5	anderesmat5	anderesmat5	anderesmat5	anderesmat5	autremat5
A_morphol_bankmod_fract_left_class	Boeschverbgrad_L_Klasse	bankmodfract_L_class	LBUKVER	LBUKVER	LBUKVER	LBUKVER	LBUKVER	LBUKVER
A_morphol_bankmod_fract_right_class	Boeschverbgrad_R_Klasse	bankmodfract_R_class	RBUKVER	RBUKVER	RBUKVER	RBUKVER	RBUKVER	RBUKVER
L_morphol_bankmod_fract_class_0	0	0	1	1	1	1	1	1
L_morphol_bankmod_fract_class_0to10	0bis10	0to10	2	2	2	2	2	2
L_morphol_bankmod_fract_class_10to30	10bis30	10to30	3	3	3	3	3	3
L_morphol_bankmod_fract_class_30to60	30bis60	30to60	4	4	4	4	4	4
L_morphol_bankmod_fract_class_60to100	60bis100	60to100	5	5	5	5	5	5
L_morphol_bankmod_fract_class_100	100	100	6	6	6	6	6	6
A_morphol_bankmod_perm_left_class	Boeschdurchl_L_Klasse	bankmodperm_L_class	LBUKMAT	LBUKMAT	LBUKMAT	LBUKMAT	LBUKMAT	LBUKMAT
A_morphol_bankmod_perm_right_class	Boeschdurchl_R_Klasse	bankmodperm_R_class	RBUKMAT	RBUKMAT	RBUKMAT	RBUKMAT	RBUKMAT	RBUKMAT
L_morphol_bankmod_perm_class_perm1	Lebendverbau	perm1	1	1	1	1	1	1
L_morphol_bankmod_perm_class_perm2	Natursteine_locker	perm2	2	2	2	2	2	2
L_morphol_bankmod_perm_class_perm3	Holz	perm3	3	3	3	3	3	3
L_morphol_bankmod_perm_class_perm4	durchlaessig4	perm4	durchlaessig4	durchlaessig4	durchlaessig4	durchlaessig4	durchlaessig4	perm4
L_morphol_bankmod_perm_class_perm5	durchlaessig5	perm5	durchlaessig5	durchlaessig5	durchlaessig5	durchlaessig5	durchlaessig5	perm5
L_morphol_bankmod_perm_class_imperm1	Betongittersteine	imperm1	4	4	4	4	4	4
L_morphol_bankmod_perm_class_imperm2	Natursteine_dicht	imperm2	5	5	5	5	5	5
L_morphol_bankmod_perm_class_imperm3	Mauer	imperm3	6	6	6	6	6	6
L_morphol_bankmod_perm_class_imperm4	andere	imperm4	7	7	7	7	7	7
L_morphol_bankmod_perm_class_imperm5	keine_Verbauung	imperm5	0	0	0	0	0	0
A_morphol_riparzone_width_left_m	Uferbreite_L_m	riparianzonewidth_L_m	LUFBEBRE	LUFBEBRE	LUFBEBRE	LUFBEBRE	LUFBEBRE	LUFBEBRE
A_morphol_riparzone_width_right_m	Uferbreite_R_m	riparianzonewidth_R_m	RUFBEBRE	RUFBEBRE	RUFBEBRE	RUFBEBRE	RUFBEBRE	RUFBEBRE
A_morphol_riparzone_veg_left_class	Ufervegetation_L_Klasse	riparianzone_veg_L_class	LUFBEBEW	LUFBEBEW	LUFBEBEW	LUFBEBEW	LUFBEBEW	LUFBEBEW
A_morphol_riparzone_vegmat_left_class	Ufervegetationsart_L_Klasse	riparianzone_vegmat_L_class	LUFBEBEWMAT	LUFBEBEWMAT	LUFBEBEWMAT	LUFBEBEWMAT	LUFBEBEWMAT	LUFBEBEWMAT
A_morphol_riparzone_veg_right_class	Ufervegetation_R_Klasse	riparianzone_veg_R_class	RUFBEBEW	RUFBEBEW	RUFBEBEW	RUFBEBEW	RUFBEBEW	RUFBEBEW
A_morphol_riparzone_vegmat_right_class	Ufervegetationsart_R_Klasse	riparianzone_vegmat_R_class	RUFBEBEWMAT	RUFBEBEWMAT	RUFBEBEWMAT	RUFBEBEWMAT	RUFBEBEWMAT	RUFBEBEWMAT
L_morphol_riparzone_veg_class_natural	gewaessergerecht	natural	1	1	1	1	1	1
L_morphol_riparzone_veg_class_seminatural	gewaesserfremd	seminatural	2	2	2	2	2	2
L_morphol_riparzone_veg_class_artificial	kuenstlich	artificial	3	3	3	3	3	3
L_morphol_riparzone_vegmat_class_gravel	Kies	gravel	8	8	8	8	8	8
L_morphol_riparzone_vegmat_class_reeds	Ried	reeds	1	1	1	1	1	1
L_morphol_riparzone_vegmat_class_forest	Wald	forest	2	2	2	2	2	2
L_morphol_riparzone_vegmat_class_treesshrub	BaeumeStraeucher	treesshrub	3	3	3	3	3	3
L_morphol_riparzone_vegmat_class_perennials	Hochstaudenflur	perennials	4	4	4	4	4	4
L_morphol_riparzone_vegmat_class_meadow	Wiese	meadow	5	5	5	5	5	5
L_morphol_riparzone_vegmat_class_alley	alleeaenlich	allay	6	6	6	6	6	6
L_morphol_riparzone_vegmat_class_artificial	kuenstlich	artificial	7	7	7	7	7	7
A_morphol_surarea_mat_left_class		surroundings_vegmat_L_class	UMLAND_L	UMLAND_L	UMLAND_L	UMLAND_L	UMLAND_L	UMLAND_L
A_morphol_surarea_mat_right_class		surroundings_vegmat_R_class	UMLAND_R	UMLAND_R	UMLAND_R	UMLAND_R	UMLAND_R	UMLAND_R
A_morphol_depthvar_class		depthvariability_class	TIEFENVAR	TIEFENVAR	TIEFENVAR	TIEFENVAR	TIEFENVAR	TIEFENVAR
L_morphol_depthvar_class_high	ausgepraegt	high	1	1	1	1	1	1
L_morphol_depthvar_class_moderate	eingeschraenkt	moderate	2	2	2	2	2	2
L_morphol_depthvar_class_none	keine	none	3	3	3	3	3	3
								
N_hydrol		hydrology	hydrology	Hydrologie	Hydrologie	Hydrologie	Hydrologie	Hydrologie
N_hydrol_mean_discharge		mean discharge	mean discharge	Mittlerer Abfluss	Mittlerer Abfluss	Mittlerer Abfluss	Mittlerer Abfluss	debit moyen
N_hydrol_mean_discharge_1		mean discharge 1	mean discharge 1	Mittlerer Abfluss 1	Mittlerer Abfluss 1	Mittlerer Abfluss 1	Mittlerer Abfluss 1	debit moyen 1
N_hydrol_mean_discharge_2		mean discharge 2	mean discharge 2	Mittlerer Abfluss 2	Mittlerer Abfluss 2	Mittlerer Abfluss 2	Mittlerer Abfluss 2	debit moyen 2
N_hydrol_mean_discharge_3		mean discharge 3	mean discharge 3	Mittlerer Abfluss 3	Mittlerer Abfluss 3	Mittlerer Abfluss 3	Mittlerer Abfluss 3	debit moyen 3
N_hydrol_mean_discharge_4		mean discharge 4	mean discharge 4	Mittlerer Abfluss 4	Mittlerer Abfluss 4	Mittlerer Abfluss 4	Mittlerer Abfluss 4	debit moyen 4
N_hydrol_mean_discharge_5		mean discharge 5	mean discharge 5	Mittlerer Abfluss 5	Mittlerer Abfluss 5	Mittlerer Abfluss 5	Mittlerer Abfluss 5	debit moyen 5
N_hydrol_mean_discharge_6		mean discharge 6	mean discharge 6	Mittlerer Abfluss 6	Mittlerer Abfluss 6	Mittlerer Abfluss 6	Mittlerer Abfluss 6	debit moyen 6
N_hydrol_mean_discharge_7		mean discharge 7	mean discharge 7	Mittlerer Abfluss 7	Mittlerer Abfluss 7	Mittlerer Abfluss 7	Mittlerer Abfluss 7	debit moyen 7
N_hydrol_mean_discharge_8		mean discharge 8	mean discharge 8	Mittlerer Abfluss 8	Mittlerer Abfluss 8	Mittlerer Abfluss 8	Mittlerer Abfluss 8	debit moyen 8
N_hydrol_mean_discharge_9		mean discharge 9	mean discharge 9	Mittlerer Abfluss 9	Mittlerer Abfluss 9	Mittlerer Abfluss 9	Mittlerer Abfluss 9	debit moyen 9
N_hydrol_mean_discharge_10		mean discharge 10	mean discharge 10	Mittlerer Abfluss 10	Mittlerer Abfluss 10	Mittlerer Abfluss 10	Mittlerer Abfluss 10	debit moyen 10
N_hydrol_mean_discharge_11		mean discharge 11	mean discharge 11	Mittlerer Abfluss 11	Mittlerer Abfluss 11	Mittlerer Abfluss 11	Mittlerer Abfluss 11	debit moyen 11
N_hydrol_mean_discharge_12		mean discharge 12	mean discharge 12	Mittlerer Abfluss 12	Mittlerer Abfluss 12	Mittlerer Abfluss 12	Mittlerer Abfluss 12	debit moyen 12
N_hydrol_mean_discharge_13		mean discharge 13	mean discharge 13	Mittlerer Abfluss 13	Mittlerer Abfluss 13	Mittlerer Abfluss 13	Mittlerer Abfluss 13	debit moyen 13
N_hydrol_mean_discharge_14		mean discharge 14	mean discharge 14	Mittlerer Abfluss 14	Mittlerer Abfluss 14	Mittlerer Abfluss 14	Mittlerer Abfluss 14	debit moyen 14
N_hydrol_mean_discharge_15		mean discharge 15	mean discharge 15	Mittlerer Abfluss 15	Mittlerer Abfluss 15	Mittlerer Abfluss 15	Mittlerer Abfluss 15	debit moyen 15
N_hydrol_mean_discharge_16		mean discharge 16	mean discharge 16	Mittlerer Abfluss 16	Mittlerer Abfluss 16	Mittlerer Abfluss 16	Mittlerer Abfluss 16	debit moyen 16
N_hydrol_flood_freq		flood frequency	flood frequency	Hochw. Haeufig.	Hochw. Haeufig.	Hochw. Haeufig.	Hochw. Haeufig.	frequence crues
N_hydrol_flood_freq_1		flood frequency 1	flood frequency 1	Hochw. Haeufig. 1	Hochw. Haeufig. 1	Hochw. Haeufig. 1	Hochw. Haeufig. 1	frequence crues 1
N_hydrol_flood_freq_2		flood frequency 2	flood frequency 2	Hochw. Haeufig. 2	Hochw. Haeufig. 2	Hochw. Haeufig. 2	Hochw. Haeufig. 2	frequence crues 2
N_hydrol_flood_freq_3		flood frequency 3	flood frequency 3	Hochw. Haeufig. 3	Hochw. Haeufig. 3	Hochw. Haeufig. 3	Hochw. Haeufig. 3	frequence crues 3
N_hydrol_flood_freq_4		flood frequency 4	flood frequency 4	Hochw. Haeufig. 4	Hochw. Haeufig. 4	Hochw. Haeufig. 4	Hochw. Haeufig. 4	frequence crues 4
N_hydrol_flood_freq_5		flood frequency 5	flood frequency 5	Hochw. Haeufig. 5	Hochw. Haeufig. 5	Hochw. Haeufig. 5	Hochw. Haeufig. 5	frequence crues 5
N_hydrol_flood_freq_6		flood frequency 6	flood frequency 6	Hochw. Haeufig. 6	Hochw. Haeufig. 6	Hochw. Haeufig. 6	Hochw. Haeufig. 6	frequence crues 6
N_hydrol_flood_freq_7		flood frequency 7	flood frequency 7	Hochw. Haeufig. 7	Hochw. Haeufig. 7	Hochw. Haeufig. 7	Hochw. Haeufig. 7	frequence crues 7
N_hydrol_flood_freq_8		flood frequency 8	flood frequency 8	Hochw. Haeufig. 8	Hochw. Haeufig. 8	Hochw. Haeufig. 8	Hochw. Haeufig. 8	frequence crues 8
N_hydrol_flood_freq_9		flood frequency 9	flood frequency 9	Hochw. Haeufig. 9	Hochw. Haeufig. 9	Hochw. Haeufig. 9	Hochw. Haeufig. 9	frequence crues 9
N_hydrol_flood_freq_10		flood frequency 10	flood frequency 10	Hochw. Haeufig. 10	Hochw. Haeufig. 10	Hochw. Haeufig. 10	Hochw. Haeufig. 10	frequence crues 10
N_hydrol_flood_freq_11		flood frequency 11	flood frequency 11	Hochw. Haeufig. 11	Hochw. Haeufig. 11	Hochw. Haeufig. 11	Hochw. Haeufig. 11	frequence crues 11
N_hydrol_flood_freq_12		flood frequency 12	flood frequency 12	Hochw. Haeufig. 12	Hochw. Haeufig. 12	Hochw. Haeufig. 12	Hochw. Haeufig. 12	frequence crues 12
N_hydrol_flood_freq_13		flood frequency 13	flood frequency 13	Hochw. Haeufig. 13	Hochw. Haeufig. 13	Hochw. Haeufig. 13	Hochw. Haeufig. 13	frequence crues 13
N_hydrol_flood_freq_14		flood frequency 14	flood frequency 14	Hochw. Haeufig. 14	Hochw. Haeufig. 14	Hochw. Haeufig. 14	Hochw. Haeufig. 14	frequence crues 14
N_hydrol_flood_freq_15		flood frequency 15	flood frequency 15	Hochw. Haeufig. 15	Hochw. Haeufig. 15	Hochw. Haeufig. 15	Hochw. Haeufig. 15	frequence crues 15
N_hydrol_flood_freq_16		flood frequency 16	flood frequency 16	Hochw. Haeufig. 16	Hochw. Haeufig. 16	Hochw. Haeufig. 16	Hochw. Haeufig. 16	frequence crues 16
N_hydrol_flood_seasonality		flood seasonality	flood seasonality	Hochw. Saison.	Hochw. Saison.	Hochw. Saison.	Hochw. Saison.	Saisonnalite crues
N_hydrol_flood_season_dat		flood season dat	flood season dat	Hochw. Sais. Dat.	Hochw. Sais. Dat.	Hochw. Sais. Dat.	Hochw. Sais. Dat.	Saisonnalite crues dat
N_hydrol_flood_season_ref		flood season ref	flood season ref	Hochw. Sais. Ref.	Hochw. Sais. Ref.	Hochw. Sais. Ref.	Hochw. Sais. Ref.	Saisonnalite crues ref
N_hydrol_lowflow_discharge		low flow discharge	low flow discharge	Niedrigw. Abfl.	Niedrigw. Abfl.	Niedrigw. Abfl.	Niedrigw. Abfl.	etiage
N_hydrol_lowflow_discharge_reldev		low flow dis. reldev	low flow dis. reldev	N.w. Abfl. rel. Abw.	N.w. Ab. rel. Abw.	N.w. Ab. rel. Abw.	N.w. Ab. rel. Abw.	N.w. Ab. rel. Abw.
N_hydrol_lowflow_discharge_relvar		low flow dis. relvar	low flow dis. relvar	N.w. Abfl. rel. Var.	N.w. Ab. rel. Var.	N.w. Ab. rel. Var.	N.w. Ab. rel. Var.	N.w. Ab. rel. Var.
N_hydrol_lowflow_discharge_relvar_1		low flow discharge relvar 1	low flow discharge relvar 1	N.w. Abfl. rel. Var. 1	N.w. Ab. rel. Var. 1	N.w. Ab. rel. Var. 1	N.w. Ab. rel. Var. 1	N.w. Ab. rel. Var. 1
N_hydrol_lowflow_discharge_relvar_2		low flow discharge relvar 2	low flow discharge relvar 2	N.w. Abfl. rel. Var. 2	N.w. Ab. rel. Var. 2	N.w. Ab. rel. Var. 2	N.w. Ab. rel. Var. 2	N.w. Ab. rel. Var. 2
N_hydrol_lowflow_discharge_relvar_3		low flow discharge relvar 3	low flow discharge relvar 3	N.w. Abfl. rel. Var. 3	N.w. Ab. rel. Var. 3	N.w. Ab. rel. Var. 3	N.w. Ab. rel. Var. 3	N.w. Ab. rel. Var. 3
N_hydrol_lowflow_discharge_relvar_4		low flow discharge relvar 4	low flow discharge relvar 4	N.w. Abfl. rel. Var. 4	N.w. Ab. rel. Var. 4	N.w. Ab. rel. Var. 4	N.w. Ab. rel. Var. 4	N.w. Ab. rel. Var. 4
N_hydrol_lowflow_discharge_relvar_5		low flow discharge relvar 5	low flow discharge relvar 5	N.w. Abfl. rel. Var. 5	N.w. Ab. rel. Var. 5	N.w. Ab. rel. Var. 5	N.w. Ab. rel. Var. 5	N.w. Ab. rel. Var. 5
N_hydrol_lowflow_discharge_relvar_6		low flow discharge relvar 6	low flow discharge relvar 6	N.w. Abfl. rel. Var. 6	N.w. Ab. rel. Var. 6	N.w. Ab. rel. Var. 6	N.w. Ab. rel. Var. 6	N.w. Ab. rel. Var. 6
N_hydrol_lowflow_discharge_relvar_7		low flow discharge relvar 7	low flow discharge relvar 7	N.w. Abfl. rel. Var. 7	N.w. Ab. rel. Var. 7	N.w. Ab. rel. Var. 7	N.w. Ab. rel. Var. 7	N.w. Ab. rel. Var. 7
N_hydrol_lowflow_discharge_relvar_8		low flow discharge relvar 8	low flow discharge relvar 8	N.w. Abfl. rel. Var. 8	N.w. Ab. rel. Var. 8	N.w. Ab. rel. Var. 8	N.w. Ab. rel. Var. 8	N.w. Ab. rel. Var. 8
N_hydrol_lowflow_discharge_relvar_9		low flow discharge relvar 9	low flow discharge relvar 9	N.w. Abfl. rel. Var. 9	N.w. Ab. rel. Var. 9	N.w. Ab. rel. Var. 9	N.w. Ab. rel. Var. 9	N.w. Ab. rel. Var. 9
N_hydrol_lowflow_discharge_relvar_10		low flow discharge relvar 10	low flow discharge relvar 10	N.w. Abfl. rel. Var. 10	N.w. Ab. rel. Var. 10	N.w. Ab. rel. Var. 10	N.w. Ab. rel. Var. 10	N.w. Ab. rel. Var. 10
N_hydrol_lowflow_discharge_relvar_11		low flow discharge relvar 11	low flow discharge relvar 11	N.w. Abfl. rel. Var. 11	N.w. Ab. rel. Var. 11	N.w. Ab. rel. Var. 11	N.w. Ab. rel. Var. 11	N.w. Ab. rel. Var. 11
N_hydrol_lowflow_discharge_relvar_12		low flow discharge relvar 12	low flow discharge relvar 12	N.w. Abfl. rel. Var. 12	N.w. Ab. rel. Var. 12	N.w. Ab. rel. Var. 12	N.w. Ab. rel. Var. 12	N.w. Ab. rel. Var. 12
N_hydrol_lowflow_discharge_relvar_13		low flow discharge relvar 13	low flow discharge relvar 13	N.w. Abfl. rel. Var. 13	N.w. Ab. rel. Var. 13	N.w. Ab. rel. Var. 13	N.w. Ab. rel. Var. 13	N.w. Ab. rel. Var. 13
N_hydrol_lowflow_discharge_relvar_14		low flow discharge relvar 14	low flow discharge relvar 14	N.w. Abfl. rel. Var. 14	N.w. Ab. rel. Var. 14	N.w. Ab. rel. Var. 14	N.w. Ab. rel. Var. 14	N.w. Ab. rel. Var. 14
N_hydrol_lowflow_discharge_relvar_15		low flow discharge relvar 15	low flow discharge relvar 15	N.w. Abfl. rel. Var. 15	N.w. Ab. rel. Var. 15	N.w. Ab. rel. Var. 15	N.w. Ab. rel. Var. 15	N.w. Ab. rel. Var. 15
